id,classify_feature_id,value
1,1,A001
2,1,A002
3,1,A003
4,1,A004
5,1,A005
6,1,A006
7,1,A007
8,1,A008
9,1,A009
10,1,A010
11,2,A011
12,2,A012
13,2,A013
14,2,A014
15,2,A015
16,2,A016
17,2,A017
18,2,A018
19,2,A019
20,2,A020
21,3,A021
22,3,A022
23,3,A023
24,3,A024
25,3,A025
26,3,A026
27,3,A027
28,3,A028
29,3,A029
30,3,A030
31,4,A031
32,4,A032
33,4,A033
34,4,A034
35,4,A035
36,4,A036
37,4,A037
38,4,A038
39,4,A039
40,4,A040
41,5,A041
42,5,A042
43,5,A043
44,5,A044
45,5,A045
46,5,A046
47,5,A047
48,5,A048
49,5,A049
50,5,A050
51,5,A051
52,5,A052
53,6,A053
54,6,A054
55,6,A055
56,6,A056
57,6,A057
58,6,A058
59,6,A059
60,6,A060
61,7,A061
62,7,A062
63,7,A063
64,7,A064
65,7,A065
66,7,A066
67,7,A067
68,7,A068
69,7,A069
70,7,A070
71,8,A071
72,8,A072
73,8,A073
74,8,A074
75,8,A075
76,8,A076
77,8,A077
78,8,A078
79,8,A079
80,8,A080
81,9,A081
82,9,A082
83,9,A083
84,9,A084
85,9,A085
86,9,A086
87,9,A087
88,9,A088
89,9,A089
90,9,A090
91,10,A091
92,10,A092
93,10,A093
94,10,A094
95,10,A095
96,10,A096
97,10,A097
98,10,A098
99,10,A099
100,10,A100